ADDRESS;ORIGINAL_LAT;ORIGINAL_LNG
Забайкальский край,Атамановка пос.,Связи ул., д39;51.928102;113.640001
Забайкальский край,Чернышевск п.,Журавлева ул.,56;52.510378;117.00844
Забайкальский край,Чита г.,Бабушкина ул., д. 33;52.030527;113.521639
Забайкальский край,Чита г.,ул. Ленинградская, 104;52.047003;113.51747
Забайкальский край,Чита г.,ул. Ярославского, 19, пом. 1;52.017194;113.489245
Забайкальский край,Калга с.,ул. Балябина, 26 пом.1;50.929201;118.896358
Забайкальский край,Приаргунск пгт,ул. Комсомольская, 2д, пом.1;50.366742;119.095469
Забайкальский край,Чита г.,Новобульварная ул., д.123, ТЦ "Северянка";52.051267;113.496324
Забайкальский край,Могзон п.,Советская ул., д.37;51.742732;111.963412
Забайкальский край,Дульдурга с.,Партизанская ул., д.4а;50.676276;113.597016
Забайкальский край,Чита г.,Казачья ул., д.5а;51.999398;113.556996
Забайкальский край,Чернышевск п.,Журавлева ул., д.60;52.508581;117.005287
Забайкальский край,Чита г.,Бутина ул., д. 69, пом. 19;52.038782;113.503996
Забайкальский край,Новокручининский пгт.,Комсомольская ул., здание Автобазы, пом. 8,9;51.77385;113.793729
Забайкальский край,Чита г.,ул. Недорезова 1М;52.035857;113.470686
Забайкальский край,Чита г.,ул. Гайдара, дом 3, пом.4,5,6,7;52.010065;113.345784
Забайкальский край,Чита г.,ул. Федора Гладкова, д.8, пом.4;52.070132;113.484161
Забайкальский край,Чита г.,ул.Столярова, д.44, пом.4;52.030156;113.518521
Забайкальский край,Чита г.,ул.Анохина, д.120а, пом.3, комнаты 4,5,6,7 и часть комнаты 2;52.034212;113.492327
Забайкальский край,Чита г.,ул.Рахова, 88, пом.2;52.051328;113.421719
Забайкальский край,Газимурский Завод с.,ул. Журавлева, д. 24, помещение 5,6;51.548009;118.340723
Забайкальский край,Чита г.,ул. Строителей, 1, строение 6;52.07;113.3567
Забайкальский край,Улеты с.,ул. Кирова, 76;51.3545;112.4888
Забайкальский край,Чита г.,Ингодинский административный р-н, 1-й микрорайон, д. 9а, помещение 1;52.0234;113.4914
Забайкальский край,Борзя г.,ул. Советская, д. 4;50.3894;116.5264
Забайкальский край,Чита г.,ул. Амурская, 2 пом.104;52.0232;113.5172
Забайкальский край,Чита г.,ул. Назара Широких, д. 7, помещение 3;52.07;113.371314
Забайкальский край,Шилка г.,ул. Балябина, 130а;51.851407;116.030031
Забайкальский край,Чита г.,ул. Советская, д. 16;52.022947;113.433238
Забайкальский край,Чита г.,проспект Маршала Жукова, д. 10;52.068375;113.384915
Забайкальский край,Чита г.,ул.Новобульварная, д.55, строение 6, пом.2;52.047086;113.506897
Забайкальский край,Нерчинск г.,ул. Красноармейская,141 стр.1;51.986438;116.586475
Забайкальский край,Агинское пгт,ул.Комсомольская, д.15, пом.10;51.106377;114.54217
Забайкальский край,Петровск-Забайкальский г.,квартал Водострой,1;51.256393;108.850543
Забайкальский край,Нерчинский завод с.,ул. Булгаковой, д. 9а;51.311758;119.607266
Забайкальский край,Нижний Цасучей с.,Комсомольская, 7;50.512437;115.136747
Забайкальский край,Новокручининский пгт.,Хвойная, д. 2;51.7623;113.8143
Ивановская область,Иваново г.,ул. Куконковых, д. 141, литер А-А24;56.9657;41.0253
Ивановская область,Иваново г.,пр. Текстильщиков, 39;56.956363;41.000188
Ивановская область,КИНЕШМА,ул.Аристарха Макарова, д.41-а, кв.2;57.437013;42.210838
Ивановская область,КОХМА,ул.Ивановская, д.67А;56.940927;41.060756
Ивановская область,ШУЯ,ул.Генерала Белова, Д.12-Б;56.847321;41.386364
Ивановская область,ШУЯ,ул.Вокзальная, д.9;56.8509;41.356055
Ивановская область,ВИЧУГА,ул.Ульяновская, д.24/1;57.217089;41.932801
Ивановская область,КИНЕШМА,ул.50-летия Комсомола, д.23, пом.1002;57.448947;42.13025
